FullCategoryName,UPC,Condition,Order_Type,Average Checked In per Day,Average Produced per Day,Average Sold per Day After Listing,Average Sold per Day,Sold Quantity,GAAP Sales,Sold Recovery % (Lowest Retail),Sold Recovery % (Anchor MSRP),Average Shipped per Day,Shipped Quantity,Shipped GAAP Sales
"Toys -> Boardgames, Puzzles & Building Blocks",6.73419E+11,New,B2BMarketplace,0.057142857,0.057142857,0.8,0.064516129,2,$600 ,60%,60%,0.08,2,$600 
"Toys -> Boardgames, Puzzles & Building Blocks",6.73419E+11,New,B2BMarketplace,0.04,0.04,0.041666667,1,1,$20 ,46%,50%,Infinity,1,$20 
"Toys -> Boardgames, Puzzles & Building Blocks",6.73419E+11,New,B2BMarketplace,0.007352941,0.007936508,0.032258065,0.00952381,1,$200 ,50%,57%,0.009803922,1,$200 
"Toys -> Boardgames, Puzzles & Building Blocks",6.73419E+11,New,B2BMarketplace,0.016949153,0.016949153,0.5,0.01754386,1,$80 ,47%,47%,0.018867925,1,$80 
"Toys -> Boardgames, Puzzles & Building Blocks",6.73419E+11,New,B2BMarketplace,0.032258065,0.033333333,0.076923077,0.055555556,1,$115 ,52%,60%,0.090909091,1,$115 
"Toys -> Boardgames, Puzzles & Building Blocks",6.73419E+11,New,B2BMarketplace,0.032258065,0.032258065,0.5,0.034482759,1,$45 ,45%,45%,0.035714286,1,$45 
"Toys -> Boardgames, Puzzles & Building Blocks",6.73419E+11,New,B2BMarketplace,0.021978022,0.031746032,0.071748879,0.03960396,4,$880 ,40%,59%,0.04040404,4,$880 
"Toys -> Boardgames, Puzzles & Building Blocks",6.73419E+11,New,B2BMarketplace,0.24137931,0.24137931,7,0.25,7,$175 ,28%,56%,0.304347826,7,$175 
"Toys -> Boardgames, Puzzles & Building Blocks",6.73419E+11,New,B2BMarketplace,0.017241379,0.017241379,0.034482759,0.034482759,1,$25 ,47%,45%,0.035714286,1,$25 
"Toys -> Boardgames, Puzzles & Building Blocks",6.73419E+11,New,B2BMarketplace,0.11627907,0.11627907,0.520833333,0.161290323,5,$40 ,32%,40%,0.172413793,5,$40 
"Toys -> Boardgames, Puzzles & Building Blocks",6.73419E+11,New,B2BMarketplace,0.018181818,0.018181818,0.041666667,0.032258065,1,$20 ,33%,33%,0.034482759,1,$20 
"Toys -> Boardgames, Puzzles & Building Blocks",6.73419E+11,New,B2BMarketplace,0.013513514,0.015873016,0.05,0.02020202,2,$64 ,53%,57%,0.021052632,2,$64 
"Toys -> Boardgames, Puzzles & Building Blocks",6.73419E+11,New,B2BMarketplace,0.008264463,0.008264463,0.111111111,0.008928571,1,$26 ,43%,46%,0.009090909,1,$26 
"Toys -> Boardgames, Puzzles & Building Blocks",6.73419E+11,New,B2BMarketplace,0.032258065,0.032258065,0.333333333,0.035714286,1,$300 ,50%,50%,0.045454545,1,$300 
"Toys -> Boardgames, Puzzles & Building Blocks",6.73419E+11,New,B2BMarketplace,0.178082192,0.178082192,2.315068493,0.183098592,13,$258 ,50%,50%,0.194029851,13,$258 
"Toys -> Boardgames, Puzzles & Building Blocks",6.73419E+11,New,B2BMarketplace,0.545454545,0.571428571,2.88,0.666666667,12,$720 ,43%,53%,0.333333333,5,$300 
"Toys -> Boardgames, Puzzles & Building Blocks",6.73419E+11,New,B2BMarketplace,0.032258065,0.032258065,0.5,0.034482759,1,$9 ,45%,56%,0.035714286,1,$9 
"Toys -> Boardgames, Puzzles & Building Blocks",6.73419E+11,New,B2BMarketplace,0.027777778,0.027777778,0.125,0.035714286,1,$10 ,50%,50%,0.043478261,1,$10 
"Toys -> Boardgames, Puzzles & Building Blocks",6.73419E+11,New,B2BMarketplace,0.066666667,0.071428571,Infinity,0.071428571,1,$19 ,54%,54%,0.1,1,$19 
"Toys -> Boardgames, Puzzles & Building Blocks",6.73419E+11,New,B2BMarketplace,0.06,0.06,3,0.06122449,3,$15 ,25%,28%,0.068181818,3,$15 
"Toys -> Boardgames, Puzzles & Building Blocks",6.73419E+11,New,B2BMarketplace,0.117647059,0.117647059,0.363636364,0.181818182,2,$158 ,53%,63%,0.111111111,1,$79 
"Toys -> Boardgames, Puzzles & Building Blocks",6.73419E+11,New,B2BMarketplace,0.109589041,0.109589041,2.56,0.112676056,8,$176 ,40%,73%,0.104477612,7,$154 
Toys -> Learning & Education -> Not Powered,6.73419E+11,New,B2BMarketplace,0.076923077,0.076923077,0.083333333,1,1,$49 ,49%,49%,Infinity,1,$49 
"Toys -> Boardgames, Puzzles & Building Blocks",6.73419E+11,New,B2BMarketplace,0.028089888,0.03968254,0.100806452,0.040983607,5,$165 ,42%,41%,0.041322314,5,$165 
"Toys -> Boardgames, Puzzles & Building Blocks",6.73419E+11,New,B2BMarketplace,0.01369863,0.01369863,0.5,0.014084507,1,$60 ,46%,46%,0.014925373,1,$60 
"Toys -> Boardgames, Puzzles & Building Blocks",6.73419E+11,New,B2BMarketplace,0.1,0.1,0.125,0.5,1,$16 ,50%,40%,,,
"Toys -> Boardgames, Puzzles & Building Blocks",6.73419E+11,New,B2BMarketplace,0.04379562,0.047619048,0.352941176,0.05,6,$156 ,52%,52%,0.051282051,6,$156 
"Toys -> Boardgames, Puzzles & Building Blocks",6.73419E+11,New,B2BMarketplace,0.015384615,0.015384615,0.016393443,0.25,1,$3 ,38%,38%,,,
"Toys -> Boardgames, Puzzles & Building Blocks",6.73419E+11,New,B2BMarketplace,0.027777778,0.027777778,0.142857143,0.034482759,1,$23 ,46%,46%,0.035714286,1,$23 
"Toys -> Boardgames, Puzzles & Building Blocks",6.73419E+11,New,B2BMarketplace,0.01010101,0.01010101,0.066666667,0.011904762,1,$130 ,58%,87%,0.013888889,1,$130 
"Toys -> Boardgames, Puzzles & Building Blocks",6.73419E+11,New,B2BMarketplace,0.082802548,0.103174603,0.267405063,0.128712871,13,$104 ,21%,20%,0.13,13,$104 
"Toys -> Boardgames, Puzzles & Building Blocks",6.73419E+11,New,B2BMarketplace,0.095541401,0.119047619,0.313807531,0.148514851,15,$75 ,13%,13%,0.15,15,$75 
"Toys -> Boardgames, Puzzles & Building Blocks",6.73419E+11,New,B2BMarketplace,0.071428571,0.071428571,0.333333333,0.090909091,1,$88 ,52%,65%,0.111111111,1,$88 
"Toys -> Boardgames, Puzzles & Building Blocks",6.73419E+11,New,B2BMarketplace,0.04,0.04,1.333333333,0.040816327,2,$22 ,31%,33%,0.045454545,2,$22 
"Toys -> Boardgames, Puzzles & Building Blocks",6.73419E+11,New,B2BMarketplace,0.714285714,0.714285714,1.5625,2.5,10,$106 ,21%,68%,,,
"Toys -> Boardgames, Puzzles & Building Blocks",6.73419E+11,New,B2BMarketplace,1.727272727,1.727272727,9.226837061,2.171428571,76,$684 ,28%,32%,2.533333333,76,$684 
"Toys -> Boardgames, Puzzles & Building Blocks",6.73419E+11,New,B2BMarketplace,0.01010101,0.010204082,0.076923077,0.011764706,1,$11 ,37%,69%,0.027777778,1,$11 
"Toys -> Boardgames, Puzzles & Building Blocks",6.73419E+11,New,B2BMarketplace,0.318181818,0.362068966,0.515186916,1.909090909,21,$128 ,47%,49%,2.222222222,20,$122 
"Toys -> Boardgames, Puzzles & Building Blocks",6.73419E+11,New,B2BMarketplace,0.416666667,0.416666667,3,0.483870968,15,$975 ,54%,54%,0.04,1,$65 
"Toys -> Boardgames, Puzzles & Building Blocks",6.73419E+11,New,B2BMarketplace,0.03125,0.032258065,0.035714286,0.25,1,$10 ,32%,96%,,,
"Toys -> Boardgames, Puzzles & Building Blocks",6.73419E+11,New,B2BMarketplace,0.293577982,0.293577982,7.474452555,0.316831683,32,$160 ,24%,30%,0.02,2,$10 
Toys -> Action Figures,6.73419E+11,New,B2BMarketplace,0.032258065,0.032258065,0.5,0.017241379,1,$5 ,13%,13%,0.01754386,1,$5 
"Toys -> Boardgames, Puzzles & Building Blocks",6.73419E+11,New,B2BMarketplace,0.081081081,0.083333333,0.9,0.09375,3,$17 ,16%,35%,0.066666667,2,$13 
"Toys -> Boardgames, Puzzles & Building Blocks",6.73419E+11,New,B2BMarketplace,0.021276596,0.021276596,0.085106383,0.028571429,2,$6 ,27%,27%,0.030769231,2,$6 
"Toys -> Boardgames, Puzzles & Building Blocks",6.73419E+11,New,B2BMarketplace,0.066666667,0.066666667,0.090909091,0.25,1,$45 ,45%,47%,,,
"Toys -> Boardgames, Puzzles & Building Blocks",6.73419E+11,New,B2BMarketplace,0.020618557,0.020618557,0.074074074,0.028571429,2,$20 ,33%,33%,0.030769231,2,$20 
"Toys -> Boardgames, Puzzles & Building Blocks",6.73419E+11,New,B2BMarketplace,0.017857143,0.017857143,0.333333333,0.018867925,1,$30 ,36%,32%,0.026315789,1,$30 
"Toys -> Boardgames, Puzzles & Building Blocks",6.73419E+11,New,B2BMarketplace,0.129032258,0.133333333,0.222222222,4,4,$52 ,43%,54%,Infinity,3,$39 
"Toys -> Boardgames, Puzzles & Building Blocks",6.73419E+11,New,B2BMarketplace,5.9,5.9,19.55617978,7.375,59,$623 ,33%,53%,29.5,59,$623 
"Toys -> Boardgames, Puzzles & Building Blocks",6.73419E+11,New,B2BMarketplace,0.142857143,0.142857143,0.166666667,1,2,$150 ,75%,68%,,,
"Toys -> Boardgames, Puzzles & Building Blocks",6.73419E+11,New,B2BMarketplace,0.032258065,0.032258065,0.5,0.034482759,1,$30 ,50%,63%,0.035714286,1,$30 
"Toys -> Boardgames, Puzzles & Building Blocks",6.73419E+11,New,B2BMarketplace,0.052631579,0.052631579,0.8,0.057142857,2,$70 ,39%,49%,0.064516129,2,$70 
"Toys -> Boardgames, Puzzles & Building Blocks",6.73419E+11,New,B2BMarketplace,0.066666667,0.071428571,1,0.071428571,1,$79 ,61%,99%,0.1,1,$79 
"Toys -> Boardgames, Puzzles & Building Blocks",6.73419E+11,New,B2BMarketplace,0.588235294,0.588235294,1.517706577,0.967741935,30,$150 ,50%,60%,1,30,$150 
"Toys -> Boardgames, Puzzles & Building Blocks",6.73419E+11,New,B2BMarketplace,0.032258065,0.032258065,0.5,0.034482759,1,$15 ,33%,42%,0.035714286,1,$15 
Toys -> Learning & Education -> Not Powered,6.73419E+11,New,B2BMarketplace,0.03030303,0.03030303,0.25,0.034482759,1,$15 ,31%,38%,0.035714286,1,$15 
"Toys -> Boardgames, Puzzles & Building Blocks",6.73419E+11,New,B2BMarketplace,0.333333333,0.333333333,Infinity,0.333333333,2,$28 ,35%,35%,0.666666667,2,$28 
"Toys -> Boardgames, Puzzles & Building Blocks",6.73419E+11,New,B2BMarketplace,0.045454545,0.045454545,0.055555556,0.25,1,$60 ,55%,55%,,,
"Toys -> Boardgames, Puzzles & Building Blocks",6.73419E+11,New,B2BMarketplace,0.030769231,0.030769231,0.090909091,0.064516129,2,$190 ,48%,48%,0.068965517,2,$190 
"Toys -> Boardgames, Puzzles & Building Blocks",6.73419E+11,New,B2BMarketplace,0.203125,0.203125,0.960227273,0.245283019,13,$130 ,26%,50%,0.342105263,13,$130 
"Toys -> Boardgames, Puzzles & Building Blocks",6.73419E+11,New,B2BMarketplace,0.285714286,0.285714286,1.333333333,0.363636364,4,$360 ,56%,56%,0.5,4,$360 
"Toys -> Boardgames, Puzzles & Building Blocks",6.73419E+11,New,B2BMarketplace,0.1,0.1,0.166666667,0.25,1,$9 ,26%,38%,,,
"Toys -> Boardgames, Puzzles & Building Blocks",6.73419E+11,New,B2BMarketplace,0.083333333,0.083333333,0.125,0.25,1,$15 ,47%,47%,,,
"Toys -> Boardgames, Puzzles & Building Blocks",6.73419E+11,New,B2BMarketplace,0.166666667,0.166666667,Infinity,0.166666667,1,$35 ,58%,71%,0.333333333,1,$35 
"Toys -> Boardgames, Puzzles & Building Blocks",6.73419E+11,New,B2BMarketplace,0.18,0.18,7.363636364,0.183673469,9,$108 ,24%,30%,0.204545455,9,$108 
"Toys -> Boardgames, Puzzles & Building Blocks",6.73419E+11,New,B2BMarketplace,0.017857143,0.017857143,0.142857143,0.020408163,1,$40 ,36%,36%,0.022727273,1,$40 
"Toys -> Boardgames, Puzzles & Building Blocks",6.73419E+11,New,B2BMarketplace,0.016949153,0.016949153,0.166666667,0.018867925,1,$248 ,50%,50%,0.026315789,1,$248 
"Toys -> Boardgames, Puzzles & Building Blocks",6.73419E+11,New,B2BMarketplace,0.027027027,0.027777778,0.166666667,0.032258065,1,$132 ,55%,66%,0.034482759,1,$132 
"Toys -> Boardgames, Puzzles & Building Blocks",6.73419E+11,New,B2BMarketplace,0.084745763,0.086206897,0.595238095,0.094339623,5,$40 ,19%,25%,0.105263158,4,$32 
"Toys -> Boardgames, Puzzles & Building Blocks",6.73419E+11,New,B2BMarketplace,0.016129032,0.016129032,0.076923077,0.020408163,1,$48 ,37%,40%,0.023255814,1,$48 
"Toys -> Boardgames, Puzzles & Building Blocks",6.73419E+11,New,B2BMarketplace,0.043478261,0.043478261,0.083333333,0.090909091,1,$26 ,37%,41%,0.111111111,1,$26 
"Toys -> Boardgames, Puzzles & Building Blocks",6.73419E+11,New,B2BMarketplace,0.047619048,0.048387097,0.264705882,0.06122449,3,$99 ,41%,41%,0.069767442,3,$99 
"Toys -> Boardgames, Puzzles & Building Blocks",6.73419E+11,New,B2BMarketplace,0.037735849,0.037735849,0.117647059,0.064516129,2,$55 ,39%,51%,0.068965517,2,$55 
"Toys -> Boardgames, Puzzles & Building Blocks",6.73419E+11,New,B2BMarketplace,0.103448276,0.107142857,0.409090909,0.142857143,3,$45 ,34%,75%,0.166666667,3,$45 
"Toys -> Boardgames, Puzzles & Building Blocks",6.73419E+11,New,B2BMarketplace,0.071428571,0.071428571,Infinity,0.071428571,1,$20 ,57%,71%,0.1,1,$20 
"Toys -> Boardgames, Puzzles & Building Blocks",6.73419E+11,New,B2BMarketplace,0.071428571,0.071428571,0.1,0.25,1,$45 ,47%,50%,,,
"Toys -> Boardgames, Puzzles & Building Blocks",6.73419E+11,New,B2BMarketplace,0.055555556,0.087301587,0.147741148,0.101851852,11,$330 ,10%,56%,0.108910891,11,$330 
"Toys -> Boardgames, Puzzles & Building Blocks",6.73419E+11,New,B2BMarketplace,0.130434783,0.130434783,0.163636364,0.75,3,$24 ,32%,37%,,,
"Toys -> Boardgames, Puzzles & Building Blocks",6.73419E+11,New,B2BMarketplace,0.078431373,0.078431373,0.8,0.081632653,4,$44 ,23%,22%,0.069767442,3,$33 
"Toys -> Boardgames, Puzzles & Building Blocks",6.73419E+11,New,B2BMarketplace,0.018181818,0.018181818,0.166666667,0.020408163,1,$30 ,31%,30%,0.023255814,1,$30 
"Toys -> Boardgames, Puzzles & Building Blocks",6.73419E+11,New,B2BMarketplace,0.064516129,0.064516129,1,0.068965517,2,$30 ,30%,37%,0.071428571,2,$30 
"Toys -> Boardgames, Puzzles & Building Blocks",6.73419E+11,New,B2BMarketplace,0.1,0.1,0.166666667,0.020408163,1,$35 ,36%,44%,,,
"Toys -> Boardgames, Puzzles & Building Blocks",6.73419E+11,New,B2BMarketplace,0.01754386,0.01754386,0.25,0.018867925,1,$10 ,33%,38%,0.022727273,1,$10 
"Toys -> Boardgames, Puzzles & Building Blocks",6.73419E+11,New,B2BMarketplace,0.066666667,0.066666667,0.235294118,0.111111111,2,$102 ,46%,46%,0.133333333,2,$102 
"Toys -> Boardgames, Puzzles & Building Blocks",6.73419E+11,New,B2BMarketplace,0.015384615,0.015384615,0.083333333,0.018867925,1,$10 ,37%,45%,0.019607843,1,$10 
"Toys -> Boardgames, Puzzles & Building Blocks",6.73419E+11,New,B2BMarketplace,0.061538462,0.061538462,0.64,0.06779661,4,$60 ,39%,40%,0.068965517,4,$60 
"Toys -> Boardgames, Puzzles & Building Blocks",6.73419E+11,New,B2BMarketplace,0.083333333,0.083333333,0.125,0.25,1,$32 ,34%,34%,,,
"Toys -> Boardgames, Puzzles & Building Blocks",6.73419E+11,New,B2BMarketplace,0.254237288,0.25862069,0.953389831,0.283018868,15,$148 ,19%,44%,0.394736842,15,$148 
"Toys -> Boardgames, Puzzles & Building Blocks",6.73419E+11,New,B2BMarketplace,15,15,Infinity,15,30,$180 ,60%,86%,,,
"Toys -> Boardgames, Puzzles & Building Blocks",6.73419E+11,New,B2BMarketplace,0.056338028,0.063492063,1.185185185,0.071428571,8,$209 ,41%,49%,0.072727273,8,$209 
"Toys -> Boardgames, Puzzles & Building Blocks",6.73419E+11,New,B2BMarketplace,0.028169014,0.031746032,0.117647059,0.04040404,4,$160 ,40%,40%,0.042105263,4,$160 
"Toys -> Boardgames, Puzzles & Building Blocks",6.73419E+11,New,B2BMarketplace,0.06,0.06,1.285714286,0.06122449,3,$49 ,18%,22%,0.046511628,2,$30 
"Toys -> Boardgames, Puzzles & Building Blocks",6.73419E+11,New,B2BMarketplace,0.253846154,0.261904762,3.084985836,0.326732673,33,"$1,650 ",50%,50%,0.33,33,"$1,650 "
"Toys -> Boardgames, Puzzles & Building Blocks",6.73419E+11,New,B2BMarketplace,0.066666667,0.066666667,0.071428571,1,1,$136 ,57%,57%,,,
"Toys -> Boardgames, Puzzles & Building Blocks",6.73419E+11,New,B2BMarketplace,0.035087719,0.035087719,0.444444444,0.037735849,2,$20 ,29%,36%,0.045454545,2,$20 
"Toys -> Boardgames, Puzzles & Building Blocks",6.73419E+11,New,B2BMarketplace,0.064516129,0.064516129,0.142857143,0.086956522,2,$44 ,44%,54%,0.117647059,2,$44 
"Toys -> Boardgames, Puzzles & Building Blocks",6.73419E+11,New,B2BMarketplace,0.064516129,0.064516129,1,0.068965517,2,$75 ,51%,47%,0.035714286,1,$40 
"Toys -> Boardgames, Puzzles & Building Blocks",6.73419E+11,New,B2BMarketplace,0.090909091,0.090909091,0.181818182,0.181818182,2,$70 ,44%,44%,0.222222222,2,$70 
"Toys -> Boardgames, Puzzles & Building Blocks",6.73419E+11,New,B2BMarketplace,0.333333333,0.333333333,0.5,1,2,$110 ,55%,55%,,,
"Toys -> Boardgames, Puzzles & Building Blocks",6.73419E+11,New,B2BMarketplace,0.111111111,0.111111111,0.333333333,0.166666667,1,$22 ,55%,59%,0.333333333,1,$22 
"Toys -> Boardgames, Puzzles & Building Blocks",6.73419E+11,New,B2BMarketplace,0.133333333,0.133333333,0.173913043,2,2,$14 ,38%,44%,2,2,$14 
"Toys -> Boardgames, Puzzles & Building Blocks",6.73419E+11,New,B2BMarketplace,0.010810811,0.015873016,0.023809524,0.020618557,2,$100 ,42%,40%,0.023529412,2,$100 
Toys -> Learning & Education -> Not Powered,6.73419E+11,New,B2BMarketplace,0.008196721,0.008849558,0.066666667,0.00990099,1,$5 ,25%,25%,0.01,1,$5 
"Toys -> Boardgames, Puzzles & Building Blocks",6.73419E+11,New,B2BMarketplace,0.123287671,0.123287671,1.840909091,0.128571429,9,$138 ,35%,38%,0.123076923,8,$118 
"Toys -> Boardgames, Puzzles & Building Blocks",6.73419E+11,New,B2BMarketplace,0.033898305,0.033898305,0.173913043,0.036363636,2,$64 ,40%,40%,0.04,2,$64 
"Toys -> Boardgames, Puzzles & Building Blocks",6.73419E+11,New Damaged Box,B2BMarketplace,0.01369863,0.014925373,0.25,0.090909091,1,$35 ,44%,44%,,,
"Toys -> Boardgames, Puzzles & Building Blocks",6.73419E+11,New,B2BMarketplace,0.166666667,0.166666667,1,0.193548387,6,$60 ,29%,36%,0.206896552,6,$60 
"Toys -> Boardgames, Puzzles & Building Blocks",6.73419E+11,New,B2BMarketplace,0.064516129,0.064516129,0.666666667,0.040816327,2,$140 ,46%,44%,0.086956522,2,$140 
"Toys -> Boardgames, Puzzles & Building Blocks",6.73419E+11,New,B2BMarketplace,0.03649635,0.033333333,0.925925926,0.041666667,5,$157 ,44%,55%,0.042735043,5,$157 
"Toys -> Boardgames, Puzzles & Building Blocks",6.73419E+11,New Damaged Box,B2BMarketplace,0.032258065,0.032258065,1,0.033333333,1,$22 ,37%,46%,0.034482759,1,$22 
"Toys -> Boardgames, Puzzles & Building Blocks",6.73419E+11,New,B2BMarketplace,0.076923077,0.076923077,0.111111111,0.25,1,$9 ,50%,53%,,,
"Toys -> Boardgames, Puzzles & Building Blocks",6.73419E+11,New,B2BMarketplace,0.078431373,0.078431373,0.484848485,0.108108108,4,$196 ,49%,49%,0.129032258,4,$196 
"Toys -> Boardgames, Puzzles & Building Blocks",6.73419E+11,New,B2BMarketplace,6.891891892,7.083333333,98.52272727,7.285714286,255,"$6,390 ",50%,63%,7.709677419,239,"$5,984 "
"Toys -> Boardgames, Puzzles & Building Blocks",6.73419E+11,New,B2BMarketplace,0.008196721,0.008196721,0.047619048,0.00990099,1,$7 ,28%,35%,0.01,1,$7 
"Toys -> Boardgames, Puzzles & Building Blocks",6.73419E+11,New,B2BMarketplace,0.02,0.02,1,0.020408163,1,$4 ,13%,20%,0.022727273,1,$4 
"Toys -> Boardgames, Puzzles & Building Blocks",6.73419E+11,New,B2BMarketplace,0.03030303,0.030612245,0.096774194,0.136363636,3,$45 ,45%,52%,0.166666667,3,$45 
"Toys -> Boardgames, Puzzles & Building Blocks",6.73419E+11,New,B2BMarketplace,0.024390244,0.024390244,0.166666667,0.028571429,1,$65 ,54%,54%,0.033333333,1,$65 
"Toys -> Boardgames, Puzzles & Building Blocks",6.73419E+11,New,B2BMarketplace,0.405405405,0.416666667,9.375,0.428571429,15,$825 ,55%,55%,0.483870968,15,$825 
"Toys -> Boardgames, Puzzles & Building Blocks",6.73419E+11,New,B2BMarketplace,0.028571429,0.028571429,0.25,0.032258065,1,$45 ,32%,32%,0.04,1,$45 
"Toys -> Boardgames, Puzzles & Building Blocks",6.73419E+11,New,B2BMarketplace,0.906976744,0.906976744,6.527896996,1.054054054,39,$351 ,30%,29%,1.114285714,39,$351 
"Toys -> Boardgames, Puzzles & Building Blocks",6.73419E+11,New,B2BMarketplace,0.153846154,0.153846154,0.571428571,0.040816327,2,$32 ,55%,53%,0.111111111,1,$16 
"Toys -> Boardgames, Puzzles & Building Blocks",6.73419E+11,New,B2BMarketplace,0.2,0.2,0.363636364,0.5,2,$20 ,33%,42%,,,
"Toys -> Boardgames, Puzzles & Building Blocks",6.73419E+11,New,B2BMarketplace,0.46875,0.46875,1,0.517241379,15,$309 ,41%,41%,0.5,14,$289 
Toys -> Learning & Education -> Not Powered,6.73419E+11,New,B2BMarketplace,0.063291139,0.063291139,0.186567164,0.084745763,5,$250 ,50%,50%,0.087719298,5,$250 
Toys -> Action Figures,6.73419E+11,New,B2BMarketplace,3.603448276,3.603448276,20.76093156,5.5,209,$845 ,28%,36%,3.945945946,146,$593 
"Toys -> Boardgames, Puzzles & Building Blocks",6.73419E+11,New,B2BMarketplace,0.010204082,0.010204082,0.055555556,0.0125,1,$13 ,43%,59%,0.0125,1,$13 
"Toys -> Boardgames, Puzzles & Building Blocks",6.73419E+11,New,B2BMarketplace,0.054794521,0.054794521,0.842105263,0.056338028,4,$116 ,49%,48%,0.059701493,4,$116 
"Toys -> Boardgames, Puzzles & Building Blocks",6.73419E+11,New,B2BMarketplace,0.018181818,0.018181818,0.166666667,0.020408163,1,$11 ,25%,23%,0.023255814,1,$11 
"Toys -> Boardgames, Puzzles & Building Blocks",6.73419E+11,New,B2BMarketplace,0.085714286,0.085714286,0.116883117,3,3,$120 ,50%,50%,,,
"Toys -> Boardgames, Puzzles & Building Blocks",6.73419E+11,New,B2BMarketplace,0.357142857,0.357142857,0.490196078,1.25,5,$25 ,25%,25%,3,3,$15 
"Toys -> Boardgames, Puzzles & Building Blocks",6.73419E+11,New,B2BMarketplace,0.25,0.25,1,0.333333333,2,$60 ,50%,50%,1,2,$60 
"Toys -> Boardgames, Puzzles & Building Blocks",6.73419E+11,New,B2BMarketplace,0.375,0.5,0.473684211,3,3,$45 ,38%,38%,Infinity,3,$45 
"Toys -> Boardgames, Puzzles & Building Blocks",6.73419E+11,New,B2BMarketplace,0.103448276,0.12,0.428571429,0.136363636,3,$15 ,25%,25%,0.166666667,3,$15 
"Toys -> Boardgames, Puzzles & Building Blocks",6.73419E+11,New,B2BMarketplace,0.275862069,0.32,0.385542169,2,8,$40 ,45%,46%,,,
"Toys -> Boardgames, Puzzles & Building Blocks",6.73419E+11,New,B2BMarketplace,0.103448276,0.12,0.12,0.75,3,$26 ,43%,43%,,,
"Toys -> Boardgames, Puzzles & Building Blocks",6.73419E+11,New,B2BMarketplace,0.100840336,0.100840336,2.716981132,0.109090909,12,$384 ,46%,71%,0.109090909,12,$384 
"Toys -> Boardgames, Puzzles & Building Blocks",6.73419E+11,New,B2BMarketplace,0.3,0.3,0.45,0.5,3,$67 ,50%,50%,0.666666667,2,$47 
"Toys -> Boardgames, Puzzles & Building Blocks",6.73419E+11,New,B2BMarketplace,0.02,0.02,1,0.020408163,1,$6 ,13%,30%,0.022727273,1,$6 
"Toys -> Boardgames, Puzzles & Building Blocks",6.73419E+11,New,B2BMarketplace,0.083333333,0.083333333,0.125,0.25,1,$7 ,44%,47%,,,
"Toys -> Boardgames, Puzzles & Building Blocks",6.73419E+11,New,B2BMarketplace,0.666666667,0.666666667,2,1,4,$184 ,54%,54%,,,
"Toys -> Boardgames, Puzzles & Building Blocks",6.73419E+11,New,B2BMarketplace,0.857142857,0.857142857,1.92,1.5,12,$108 ,45%,45%,3.666666667,11,$99 
"Toys -> Boardgames, Puzzles & Building Blocks",6.73419E+11,New,B2BMarketplace,0.428571429,0.529411765,1.173913043,2.25,9,$79 ,59%,59%,Infinity,7,$63 
"Home -> Bedding -> Blankets, Throws & Quilts",6.75717E+11,New,B2BMarketplace,0.018726592,,0.040257649,0.036764706,5,$195 ,28%,28%,0.036764706,5,$195 
Home -> Lighting & Light Fixtures,6.81066E+11,New,B2BMarketplace,0.004716981,0.007936508,0.007575758,0.0125,1,$14 ,28%,28%,0.0125,1,$14 
Electronics -> Cellular Phones -> Accessories -> Other,6.81131E+11,New,B2BMarketplace,0.028938907,0.080357143,0.031690141,0.333333333,9,$27 ,25%,25%,0.375,9,$27 
Electronics -> Cellular Phones -> Accessories -> Other,6.81131E+11,New,B2BMarketplace,0.04040404,0.04040404,0.042105263,1,4,$4 ,7%,10%,,,
Electronics -> Cellular Phones -> Accessories -> Other,6.81131E+11,New,B2BMarketplace,0.04040404,0.04040404,0.042105263,1,4,$4 ,9%,10%,,,
Electronics -> Cellular Phones -> Accessories -> Cases,6.81131E+11,New,B2BMarketplace,0.04040404,0.04040404,0.042105263,1,4,$4 ,8%,8%,,,
Electronics -> Cellular Phones -> Accessories -> Cases,6.81131E+11,New,B2BMarketplace,0.03030303,0.03030303,0.031578947,0.75,3,$3 ,8%,8%,,,
Electronics -> Cellular Phones -> Accessories -> Cases,6.81131E+11,New,B2BMarketplace,0.066666667,0.066666667,0.090909091,0.25,1,$1 ,8%,8%,,,
Electronics -> Cellular Phones -> Accessories -> Cases,6.81131E+11,New,B2BMarketplace,0.05,0.05,0.052301255,1.25,5,$5 ,8%,8%,,,
Electronics -> Cellular Phones -> Accessories -> Cases,6.81131E+11,New,B2BMarketplace,0.04,0.060606061,0.056737589,1,4,$4 ,8%,8%,,,
Electronics -> Cellular Phones -> Accessories -> Cases,6.81131E+11,New,B2BMarketplace,0.050505051,0.050505051,0.066489362,1.25,5,$5 ,8%,8%,,,
Electronics -> Cellular Phones -> Accessories -> Cases,6.81131E+11,New,B2BMarketplace,0.12,0.12,0.153681964,3,12,$12 ,8%,8%,,,
Electronics -> Cellular Phones -> Accessories -> Cases,6.81131E+11,New,B2BMarketplace,0.050505051,0.050505051,0.067934783,1.25,5,$5 ,11%,14%,,,
Electronics -> Cellular Phones -> Accessories -> Cases,6.81131E+11,New,B2BMarketplace,0.019230769,0.066666667,0.020833333,0.25,1,$1 ,12%,14%,,,
Electronics -> Cellular Phones -> Accessories -> Cases,6.81131E+11,New,B2BMarketplace,0.101010101,0.101010101,0.235294118,2.5,10,$10 ,12%,14%,,,
